Profile,ProfileLabel,Year,Annual spend,Envelope,Closing net,NPV (m)
3,Profile 3 – 2.02% toward 'Mathematical Best',2039,2436728739.017444,2500000000.0,-260318488.28927025,61256.26385130589
3,Profile 3 – 2.02% toward 'Mathematical Best',2040,2357776449.9551516,2500000000.0,-118094938.24442178,61256.26385130589
3,Profile 3 – 2.02% toward 'Mathematical Best',2041,2131922910.6818185,2500000000.0,249982151.0737598,61256.26385130589
3,Profile 3 – 2.02% toward 'Mathematical Best',2042,2427288192.0436363,2500000000.0,322693959.0301235,61256.26385130589
3,Profile 3 – 2.02% toward 'Mathematical Best',2043,2076753579.9409091,2500000000.0,745940379.0892143,61256.26385130589
3,Profile 3 – 2.02% toward 'Mathematical Best',2044,1552230900.9349508,2500000000.0,1693709478.1542635,61256.26385130589
3,Profile 3 – 2.02% toward 'Mathematical Best',2045,3464803612.6975775,2500000000.0,728905865.4566863,61256.26385130589
3,Profile 3 – 2.02% toward 'Mathematical Best',2046,2979658211.2872734,2500000000.0,249247654.16941303,61256.26385130589
3,Profile 3 – 2.02% toward 'Mathematical Best',2047,2625953022.4796557,2500000000.0,123294631.68975753,61256.26385130589
3,Profile 3 – 2.02% toward 'Mathematical Best',2048,2553627839.2847958,2500000000.0,69666792.40496165,61256.26385130589
3,Profile 3 – 2.02% toward 'Mathematical Best',2049,2348501978.973588,2500000000.0,221164813.4313738,61256.26385130589
3,Profile 3 – 2.02% toward 'Mathematical Best',2050,2263300549.3854494,2500000000.0,457864264.04592437,61256.26385130589
3,Profile 3 – 2.02% toward 'Mathematical Best',2051,2213249374.091523,2500000000.0,744614889.954401,61256.26385130589
3,Profile 3 – 2.02% toward 'Mathematical Best',2052,2290620086.8151,2500000000.0,953994803.139301,61256.26385130589
3,Profile 3 – 2.02% toward 'Mathematical Best',2053,2877866440.810123,2500000000.0,576128362.329178,61256.26385130589
3,Profile 3 – 2.02% toward 'Mathematical Best',2054,2633153044.0,2500000000.0,442975318.3291779,61256.26385130589
3,Profile 3 – 2.02% toward 'Mathematical Best',2055,2584889864.0,2500000000.0,358085454.3291779,61256.26385130589
3,Profile 3 – 2.02% toward 'Mathematical Best',2056,2516289326.0,2500000000.0,341796128.3291779,61256.26385130589
3,Profile 3 – 2.02% toward 'Mathematical Best',2057,2470631264.0,2500000000.0,371164864.3291779,61256.26385130589
3,Profile 3 – 2.02% toward 'Mathematical Best',2058,2510931632.0,2500000000.0,360233232.3291779,61256.26385130589
3,Profile 3 – 2.02% toward 'Mathematical Best',2059,2180707517.286363,2500000000.0,679525715.0428146,61256.26385130589
3,Profile 3 – 2.02% toward 'Mathematical Best',2060,2142084912.0257576,2500000000.0,1037440803.0170571,61256.26385130589
3,Profile 3 – 2.02% toward 'Mathematical Best',2061,2276978525.0,2500000000.0,1260462278.0170572,61256.26385130589
3,Profile 3 – 2.02% toward 'Mathematical Best',2062,1582407111.0484848,2500000000.0,2178055166.9685726,61256.26385130589
3,Profile 3 – 2.02% toward 'Mathematical Best',2063,1173970413.0424242,397697010.1010101,1401781764.0271585,61256.26385130589
3,Profile 3 – 2.02% toward 'Mathematical Best',2064,710078490.2151514,397697010.1010101,1089400283.9130173,61256.26385130589
3,Profile 3 – 2.02% toward 'Mathematical Best',2065,378199840.1560606,397697010.1010101,1108897453.857967,61256.26385130589
3,Profile 3 – 2.02% toward 'Mathematical Best',2066,163580161.8181818,384484484.8484849,1329801776.88827,61256.26385130589
3,Profile 3 – 2.02% toward 'Mathematical Best',2067,28368034.545454547,384484484.8484849,1685918227.1913002,61256.26385130589
3,Profile 3 – 2.02% toward 'Mathematical Best',2068,0.0,0.0,,61256.26385130589
3,Profile 3 – 2.02% toward 'Mathematical Best',2069,0.0,0.0,,61256.26385130589
3,Profile 3 – 2.02% toward 'Mathematical Best',2070,0.0,0.0,,61256.26385130589
3,Profile 3 – 2.02% toward 'Mathematical Best',2071,0.0,0.0,,61256.26385130589
3,Profile 3 – 2.02% toward 'Mathematical Best',2072,0.0,0.0,,61256.26385130589
3,Profile 3 – 2.02% toward 'Mathematical Best',2073,0.0,0.0,,61256.26385130589
3,Profile 3 – 2.02% toward 'Mathematical Best',2074,0.0,0.0,,61256.26385130589
3,Profile 3 – 2.02% toward 'Mathematical Best',2075,0.0,0.0,,61256.26385130589
3,Profile 3 – 2.02% toward 'Mathematical Best',2076,0.0,0.0,,61256.26385130589
3,Profile 3 – 2.02% toward 'Mathematical Best',2077,0.0,0.0,,61256.26385130589
3,Profile 3 – 2.02% toward 'Mathematical Best',2078,0.0,0.0,,61256.26385130589
3,Profile 3 – 2.02% toward 'Mathematical Best',2079,0.0,0.0,,61256.26385130589
3,Profile 3 – 2.02% toward 'Mathematical Best',2080,0.0,0.0,,61256.26385130589
3,Profile 3 – 2.02% toward 'Mathematical Best',2081,0.0,0.0,,61256.26385130589
3,Profile 3 – 2.02% toward 'Mathematical Best',2082,0.0,0.0,,61256.26385130589
3,Profile 3 – 2.02% toward 'Mathematical Best',2083,0.0,0.0,,61256.26385130589
3,Profile 3 – 2.02% toward 'Mathematical Best',2084,0.0,0.0,,61256.26385130589
4,Profile 4 – 3.03% toward 'Mathematical Best',2025,250603304.09696972,2500000000.0,2249396695.9030304,62883.6809787861
4,Profile 4 – 3.03% toward 'Mathematical Best',2026,1320732740.4074183,2500000000.0,3428663955.495612,62883.6809787861
4,Profile 4 – 3.03% toward 'Mathematical Best',2027,2456201875.810909,2500000000.0,3472462079.684703,62883.6809787861
4,Profile 4 – 3.03% toward 'Mathematical Best',2028,2915015680.1323633,2500000000.0,3057446399.5523396,62883.6809787861
4,Profile 4 – 3.03% toward 'Mathematical Best',2029,3262569094.1466665,2500000000.0,2294877305.405673,62883.6809787861
4,Profile 4 – 3.03% toward 'Mathematical Best',2030,2894014553.496097,2500000000.0,1900862751.909576,62883.6809787861
